ts	httpadvanced_download_bandwidth
2021-06-18 01:45:19	2976.0
2021-06-18 01:50:19	2946.0
2021-06-18 01:55:19	2333.0
2021-06-18 02:00:19	2627.0
2021-06-18 02:05:19	3170.0
2021-06-18 02:10:19	3103.0
2021-06-18 02:15:19	2604.0
2021-06-18 02:20:19	2536.0
2021-06-18 02:25:19	2627.0
2021-06-18 02:30:19	2493.0
2021-06-18 02:35:19	3205.0
2021-06-18 02:40:19	2888.0
2021-06-18 02:45:19	2371.0
2021-06-18 02:50:19	2726.0
2021-06-18 02:55:19	3170.0
2021-06-18 03:00:19	2627.0
2021-06-18 03:05:19	2859.0
2021-06-18 03:10:19	2778.0
2021-06-18 03:15:19	3170.0
2021-06-18 03:20:19	1858.0
2021-06-18 03:25:19	2888.0
2021-06-18 03:30:19	2651.0
2021-06-18 03:35:19	2946.0
2021-06-18 03:40:19	2493.0
2021-06-18 03:45:19	2627.0
2021-06-18 03:50:19	2390.0
2021-06-18 03:55:19	2859.0
2021-06-18 04:00:19	2604.0
2021-06-18 04:05:19	2751.0
2021-06-18 04:10:19	3070.0
2021-06-18 04:15:19	3103.0
2021-06-18 04:20:19	2976.0
2021-06-18 04:25:19	2778.0
2021-06-18 04:30:19	3352.0
2021-06-18 04:35:19	2859.0
2021-06-18 04:40:19	3103.0
2021-06-18 04:45:19	3070.0
2021-06-18 04:50:19	3038.0
2021-06-18 04:55:19	3170.0
2021-06-18 05:00:19	2700.0
2021-06-18 05:05:19	2946.0
2021-06-18 05:10:19	2536.0
2021-06-18 05:15:19	2651.0
2021-06-18 05:20:19	2700.0
2021-06-18 05:25:19	2751.0
2021-06-18 05:30:19	2946.0
2021-06-18 05:35:19	2946.0
2021-06-18 05:40:19	3277.0
2021-06-18 05:45:19	3352.0
2021-06-18 05:50:19	2676.0
2021-06-18 05:55:19	3136.0
2021-06-18 06:00:19	3038.0
2021-06-18 06:05:19	2751.0
2021-06-18 06:10:19	2976.0
2021-06-18 06:15:19	2604.0
2021-06-18 06:20:19	2651.0
2021-06-18 06:25:19	3205.0
2021-06-18 06:30:19	3038.0
2021-06-18 06:35:19	2976.0
2021-06-18 06:40:19	3205.0
2021-06-18 06:45:19	3103.0
2021-06-18 06:50:19	2859.0
2021-06-18 06:55:19	3103.0
2021-06-18 07:00:19	3007.0
2021-06-18 07:05:19	2946.0
2021-06-18 07:10:19	2888.0
2021-06-18 07:15:19	3007.0
2021-06-18 07:20:19	3038.0
2021-06-18 07:25:19	3103.0
2021-06-18 07:30:19	3136.0
2021-06-18 07:35:19	2916.0
2021-06-18 07:40:19	3314.0
2021-06-18 07:45:19	3007.0
2021-06-18 07:50:19	2831.0
2021-06-18 07:55:19	2558.0
2021-06-18 08:00:19	2946.0
2021-06-18 08:05:19	3277.0
2021-06-18 08:10:19	3170.0
2021-06-18 08:15:19	2315.0
2021-06-18 08:20:19	3070.0
2021-06-18 08:25:19	3431.0
2021-06-18 08:30:19	2751.0
2021-06-18 08:35:19	3391.0
2021-06-18 08:40:19	2888.0
2021-06-18 08:45:19	2627.0
2021-06-18 08:50:19	2390.0
2021-06-18 08:55:19	2604.0
2021-06-18 09:00:19	2160.0
2021-06-18 09:05:19	2054.0
2021-06-18 09:10:19	2352.0
2021-06-18 09:15:19	2176.0
2021-06-18 09:20:19	1882.0
2021-06-18 09:25:19	2676.0
2021-06-18 09:30:19	2946.0
2021-06-18 09:35:19	2581.0
2021-06-18 09:40:19	3205.0
2021-06-18 09:45:19	2888.0
2021-06-18 09:50:19	2751.0
2021-06-18 09:55:19	3103.0
2021-06-18 10:00:19	2804.0
2021-06-18 10:05:19	2493.0
2021-06-18 10:10:19	2651.0
2021-06-18 10:15:19	3007.0
2021-06-18 10:20:19	3070.0
2021-06-18 10:25:19	2804.0
2021-06-18 10:30:19	2976.0
2021-06-18 10:35:19	3038.0
2021-06-18 10:40:19	2536.0
2021-06-18 10:45:19	2778.0
2021-06-18 10:50:19	3240.0
2021-06-18 10:55:19	3205.0
2021-06-18 11:00:19	3136.0
2021-06-18 11:05:19	2946.0
2021-06-18 11:10:19	3103.0
2021-06-18 11:15:19	3170.0
2021-06-18 11:20:19	3038.0
2021-06-18 11:25:19	3103.0
2021-06-18 11:30:19	3038.0
2021-06-18 11:35:19	3070.0
2021-06-18 11:40:19	3070.0
2021-06-18 11:45:19	3431.0
2021-06-18 11:50:19	3007.0
2021-06-18 11:55:19	2371.0
2021-06-18 12:00:19	2558.0
2021-06-18 12:05:19	2859.0
2021-06-18 12:10:19	2804.0
2021-06-18 12:15:19	2804.0
2021-06-18 12:20:19	2916.0
2021-06-18 12:25:19	2410.0
2021-06-18 12:30:19	2627.0
2021-06-18 12:35:19	3038.0
2021-06-18 12:40:19	2859.0
2021-06-18 12:45:19	3007.0
2021-06-18 12:50:19	2604.0
2021-06-18 12:55:19	3205.0
2021-06-18 13:00:19	3277.0
2021-06-18 13:05:19	2946.0
2021-06-18 13:10:19	3136.0
2021-06-18 13:15:19	3391.0
2021-06-18 13:20:19	3070.0
2021-06-18 13:25:19	3103.0
