ts	snmplinuxmeminfo_percent_available_memory
2021-06-16 14:08:47	47.0
2021-06-16 14:13:47	47.0
2021-06-16 14:18:47	47.0
2021-06-16 14:23:47	47.0
2021-06-16 14:28:47	47.0
2021-06-16 14:33:47	47.0
2021-06-16 14:38:47	47.0
2021-06-16 14:43:47	47.0
2021-06-16 14:48:47	47.0
2021-06-16 14:53:47	47.0
2021-06-16 14:58:47	47.0
2021-06-16 15:03:47	47.0
2021-06-16 15:08:47	47.0
2021-06-16 15:13:47	47.0
2021-06-16 15:18:47	47.0
2021-06-16 15:23:47	47.0
2021-06-16 15:28:47	47.0
2021-06-16 15:33:47	47.0
2021-06-16 15:38:47	47.0
2021-06-16 15:43:47	47.0
2021-06-16 15:48:47	47.0
2021-06-16 15:53:47	47.0
2021-06-16 15:58:47	47.0
2021-06-16 16:03:47	47.0
2021-06-16 16:08:47	47.0
2021-06-16 16:13:47	47.0
2021-06-16 16:18:47	47.0
2021-06-16 16:23:47	47.0
2021-06-16 16:28:47	47.0
2021-06-16 16:33:47	47.0
2021-06-16 16:38:47	47.0
2021-06-16 16:43:47	47.0
2021-06-16 16:48:47	47.0
2021-06-16 16:53:47	47.0
2021-06-16 16:58:47	47.0
2021-06-16 17:03:47	47.0
2021-06-16 17:08:47	47.0
2021-06-16 17:13:47	47.0
2021-06-16 17:18:47	47.0
2021-06-16 17:23:47	47.0
2021-06-16 17:28:47	47.0
2021-06-16 17:33:47	47.0
2021-06-16 17:38:47	47.0
2021-06-16 17:43:47	47.0
2021-06-16 17:48:47	47.0
2021-06-16 17:53:47	47.0
2021-06-16 17:58:47	47.0
2021-06-16 18:03:47	47.0
2021-06-16 18:08:47	47.0
2021-06-16 18:13:47	47.0
2021-06-16 18:18:47	47.0
2021-06-16 18:23:47	47.0
2021-06-16 18:28:47	47.0
2021-06-16 18:33:47	47.0
2021-06-16 18:38:47	47.0
2021-06-16 18:43:47	47.0
2021-06-16 18:48:47	47.0
2021-06-16 18:53:47	47.0
2021-06-16 18:58:47	47.0
2021-06-16 19:03:47	47.0
2021-06-16 19:08:47	47.0
2021-06-16 19:13:47	47.0
2021-06-16 19:18:47	47.0
2021-06-16 19:23:47	47.0
2021-06-16 19:28:47	47.0
2021-06-16 19:33:47	47.0
2021-06-16 19:38:47	47.0
2021-06-16 19:43:47	47.0
2021-06-16 19:48:47	47.0
2021-06-16 19:53:47	47.0
2021-06-16 19:58:47	47.0
2021-06-16 20:03:47	47.0
2021-06-16 20:08:47	47.0
2021-06-16 20:13:47	47.0
2021-06-16 20:18:47	47.0
2021-06-16 20:23:47	47.0
2021-06-16 20:28:47	47.0
2021-06-16 20:33:47	47.0
2021-06-16 20:38:47	47.0
2021-06-16 20:43:47	47.0
2021-06-16 20:48:47	47.0
2021-06-16 20:53:47	47.0
2021-06-16 20:58:47	47.0
2021-06-16 21:03:47	47.0
2021-06-16 21:08:47	47.0
2021-06-16 21:13:47	47.0
2021-06-16 21:18:47	47.0
2021-06-16 21:23:47	47.0
2021-06-16 21:28:47	47.0
2021-06-16 21:33:47	47.0
2021-06-16 21:38:47	47.0
2021-06-16 21:43:47	47.0
2021-06-16 21:48:47	47.0
2021-06-16 21:53:47	47.0
2021-06-16 21:58:47	47.0
2021-06-16 22:03:47	47.0
2021-06-16 22:08:47	47.0
2021-06-16 22:13:47	47.0
2021-06-16 22:18:47	47.0
2021-06-16 22:23:47	47.0
2021-06-16 22:28:47	47.0
2021-06-16 22:33:47	47.0
