ts	snmprmon_packets_65_127_bytes_speed
2021-06-26 19:33:24	127.4
2021-06-26 19:34:24	124.6541
2021-06-26 19:35:24	128.1
2021-06-26 19:36:24	134.3667
2021-06-26 19:37:24	133.9723
2021-06-26 19:38:24	126.2544
2021-06-26 19:39:24	140.2734
2021-06-26 19:40:24	128.1453
2021-06-26 19:41:24	133.3556
2021-06-26 19:42:24	128.7048
2021-06-26 19:43:24	127.4212
2021-06-26 19:44:24	124.1626
2021-06-26 19:45:24	134.2333
2021-06-26 19:46:24	121.3905
2021-06-26 19:47:24	123.4539
2021-06-26 19:48:24	126.4377
2021-06-26 19:49:24	137.6104
2021-06-26 19:50:24	125.0625
2021-06-26 19:51:24	117.0362
2021-06-26 19:52:24	118.5926
2021-06-26 19:53:24	125.7624
2021-06-26 19:54:24	130.6718
2021-06-26 19:55:24	134.0223
2021-06-26 19:56:24	127.888
2021-06-26 19:57:24	133.2555
2021-06-26 19:58:24	122.3129
2021-06-26 19:59:24	128.4381
2021-06-26 20:00:24	115.8167
2021-06-26 20:01:24	129.6667
2021-06-26 20:02:24	141.0167
2021-06-26 20:03:24	137.029
2021-06-26 20:04:24	125.0708
2021-06-26 20:05:24	129.15
2021-06-26 20:06:24	133.9167
2021-06-26 20:07:24	127.2045
2021-06-26 20:08:24	128.9452
2021-06-26 20:09:24	132.4721
2021-06-26 20:10:24	120.5534
2021-06-26 20:11:24	127.0878
2021-06-26 20:12:24	126.8756
2021-06-26 20:13:24	119.4968
2021-06-26 20:14:24	126.5544
2021-06-26 20:15:24	127.9333
2021-06-26 20:16:24	127.1257
2021-06-26 20:17:24	132.7779
2021-06-26 20:18:24	124.3041
2021-06-26 20:19:24	124.5374
2021-06-26 20:20:24	114.5476
2021-06-26 20:21:24	130.4152
2021-06-26 20:22:24	124.2874
2021-06-26 20:23:24	123.7706
2021-06-26 20:24:24	121.1333
2021-06-26 20:25:24	120.0167
2021-06-26 20:26:24	117.3224
2021-06-26 20:27:24	123.804
2021-06-26 20:28:24	125.2791
2021-06-26 20:29:24	116.7723
2021-06-26 20:30:24	123.0833
2021-06-26 20:31:24	124.3041
2021-06-26 20:32:24	119.8
2021-06-26 20:33:24	131.0667
2021-06-26 20:34:24	123.0077
2021-06-26 20:35:24	123.8833
2021-06-26 20:36:24	127.55
2021-06-26 20:37:24	119.3199
2021-06-26 20:38:24	129.2215
2021-06-26 20:39:24	122.5629
2021-06-26 20:40:24	127.3046
2021-06-26 20:41:24	127.938
2021-06-26 20:42:24	126.3377
2021-06-26 20:43:24	126.6456
2021-06-26 20:44:24	120.2034
2021-06-26 20:45:24	128.5
2021-06-26 20:46:24	127.0257
2021-06-26 20:47:24	116.7639
2021-06-26 20:48:24	130.6333
2021-06-26 20:49:24	125.6876
2021-06-26 20:50:24	122.8962
2021-06-26 20:51:24	121.2035
2021-06-26 20:52:24	126.3211
2021-06-26 20:53:24	191.45
2021-06-26 20:54:24	202.0003
2021-06-26 20:55:24	204.7159
2021-06-26 20:56:24	183.0777
2021-06-26 20:57:24	155.2259
2021-06-26 20:58:24	125.9957
2021-06-26 20:59:24	117.8363
2021-06-26 21:00:24	117.3833
2021-06-26 21:01:24	121.4738
2021-06-26 21:02:24	123.4461
2021-06-26 21:03:24	119.3532
2021-06-26 21:04:24	121.5203
2021-06-26 21:05:24	116.7195
2021-06-26 21:06:24	120.6833
2021-06-26 21:07:24	123.9873
2021-06-26 21:08:24	122.5704
2021-06-26 21:09:24	118.9865
2021-06-26 21:10:24	118.4469
2021-06-26 21:11:24	121.3036
2021-06-26 21:12:24	120.6201
2021-06-26 21:13:24	126.5878
2021-06-26 21:14:24	131.9833
2021-06-26 21:15:24	126.8333
2021-06-26 21:16:24	123.908
2021-06-26 21:17:24	121.5631
2021-06-26 21:18:24	125.0042
2021-06-26 21:19:24	122.5871
2021-06-26 21:20:24	119.3167
2021-06-26 21:21:24	121.1167
2021-06-26 21:22:24	125.2209
2021-06-26 21:23:24	117.5363
2021-06-26 21:24:24	130.7551
2021-06-26 21:25:24	123.3461
2021-06-26 21:26:24	122.074
2021-06-26 21:27:24	129.2049
2021-06-26 21:28:24	114.6809
2021-06-26 21:29:24	120.0367
2021-06-26 21:30:24	121.55
2021-06-26 21:31:24	121.837
2021-06-26 21:32:24	128.8452
2021-06-26 21:33:24	129.7883
2021-06-26 21:34:24	127.6046
2021-06-26 21:35:24	124.5708
2021-06-26 21:36:24	121.0833
2021-06-26 21:37:24	115.4026
2021-06-26 21:38:24	125.8543
2021-06-26 21:39:24	122.6704
2021-06-26 21:40:24	123.2128
2021-06-26 21:41:24	120.0367
2021-06-26 21:42:24	112.4021
2021-06-26 21:43:24	128.6167
2021-06-26 21:44:24	125.5043
2021-06-26 21:45:24	118.5031
2021-06-26 21:46:24	134.0557
2021-06-26 21:47:24	120.09
2021-06-26 21:48:24	118.8135
2021-06-26 21:49:24	125.9377
2021-06-26 21:50:24	116.0973
2021-06-26 21:51:24	118.5198
2021-06-26 21:52:24	121.8703
2021-06-26 21:53:24	121.6703
2021-06-26 21:54:24	122.7705
2021-06-26 21:55:24	117.4304
2021-06-26 21:56:24	119.7566
2021-06-26 21:57:24	119.1532
2021-06-26 21:58:24	122.5204
2021-06-26 21:59:24	122.55
2021-06-26 22:00:24	127.7167
2021-06-26 22:01:24	124.5248
2021-06-26 22:02:24	121.5369
2021-06-26 22:03:24	122.8462
2021-06-26 22:04:24	122.137
2021-06-26 22:05:24	167.7667
2021-06-26 22:06:24	170.6667
2021-06-26 22:07:24	180.2634
2021-06-26 22:08:24	179.3132
2021-06-26 22:09:24	190.2516
2021-06-26 22:10:24	216.3027
2021-06-26 22:11:24	202.3841
2021-06-26 22:12:24	218.4562
2021-06-26 22:13:24	208.4681
2021-06-26 22:14:24	224.0793
2021-06-26 22:15:24	215.8026
