sensortype,sensor_description,channels
,,snmptraffic_nonunicast_in_speed
,,snmptraffic_nonunicast_out_speed
snmpuptime,https://www.paessler.com/manuals/prtg/snmp_uptime_sensor,snmpuptime_system_uptime
sntp,https://www.paessler.com/manuals/prtg/ntp_sensor,sntp_response_time
,,sntp_difference
sshloadavg,https://www.paessler.com/manuals/prtg/ssh_load_average_sensor,sshloadavg__1_minute
,,sshloadavg__5_minutes
,,sshloadavg__15_minutes
sshmeminfo,https://www.paessler.com/manuals/prtg/ssh_meminfo_sensor,sshmeminfo_available_memory
,,sshmeminfo_percent_available_memory
ssl,https://www.paessler.com/manuals/prtg/ssl_security_check_sensor,ssl_security_rating_only_strong_protocols_available
,,ssl_ssl_30_weak_denied
,,ssl_tls_10_weak_denied
,,ssl_tls_11_strong_accepted
,,ssl_tls_12_perfect_accepted
sslcertificate,https://www.paessler.com/manuals/prtg/ssl_certificate_warning,sslcertificate_days_to_expiration
,,sslcertificate_root_authority_trusted_yes
,,sslcertificate_revoked_no
,,sslcertificate_public_key_length_good_2048
,,sslcertificate_selfsigned_no
,,sslcertificate_common_name_check_matches_device_address
,,sslcertificate_public_key_length_perfect_2048
vcenterserverextern,https://www.paessler.com/manuals/prtg/vmware_virtual_machine_soap_sensor,vcenterserverextern_cpu_usage
,,vcenterserverextern_network_received
,,vcenterserverextern_disk_read
,,vcenterserverextern_datastore_total_readlatency
,,vcenterserverextern_network_usage
,,vcenterserverextern_datastore_total_writelatency
,,vcenterserverextern_memory_active
,,vcenterserverextern_network_transmitted
,,vcenterserverextern_memory_consumed_percent
,,vcenterserverextern_memory_consumed
,,vcenterserverextern_disk_usage
,,vcenterserverextern_disk_write
,,vcenterserverextern_power
,,vcenterserverextern_cpu_ready_percent
,,vcenterserverextern_cpu_ready
vmwaredatastoreextern,https://www.paessler.com/manuals/prtg/vmware_datastore_soap_sensor,vmwaredatastoreextern_free_space
,,vmwaredatastoreextern_total_provisioned
,,vmwaredatastoreextern_uncommitted_bytes
,,vmwaredatastoreextern_available_capacity
wmidiskspace,https://www.paessler.com/manuals/prtg/wmi_free_disk_space_multi_drive,wmidiskspace_total
,,wmidiskspace_free_bytes_c
,,wmidiskspace_free_space_c
,,wmidiskspace_sum
,,wmidiskspace_free_bytes_d
,,wmidiskspace_free_space_d
,,wmidiskspace_free_bytes_h
,,wmidiskspace_free_space_h
,,wmidiskspace_free_bytes_g
,,wmidiskspace_free_space_g
,,wmidiskspace_free_bytes_e
,,wmidiskspace_free_space_e
,,wmidiskspace_free_bytes_f
,,wmidiskspace_free_space_f
,,wmidiskspace_free_bytes_x
,,wmidiskspace_free_space_x
,,wmidiskspace_free_bytes_y
,,wmidiskspace_free_space_y
,,wmidiskspace_freie_bytes_d
,,wmidiskspace_freier_platz_d
wmieventlog,https://www.paessler.com/manuals/prtg/wmi_event_log_sensor,wmieventlog_new_records_speed
wmiexchangeserver,,wmiexchangeserver_value
wmihyperv,https://www.paessler.com/manuals/prtg/hyper_v_virtual_machine_sensor,wmihyperv_cpu_usage_total
,,wmihyperv_cpu_usage_guest
,,wmihyperv_cpu_usage_hypervisor
wmihypervserver,https://www.paessler.com/manuals/prtg/hyper_v_host_server_sensor,wmihypervserver_cpu_usage_total
,,wmihypervserver_cpu_usage_guests
,,wmihypervserver_cpu_usage_hypervisor
,,wmihypervserver_deposited_pages
,,wmihypervserver_network_traffic
wmiiis,https://www.paessler.com/manuals/prtg/wmi_iis_application_sensor,wmiiis_total_speed
,,wmiiis_bytes_received_speed
,,wmiiis_bytes_sent_speed
,,wmiiis_get_requests_speed
,,wmiiis_post_requests_speed
,,wmiiis_not_found_errors_speed
,,wmiiis_anonymous_users_speed
,,wmiiis_known_users_speed
,,wmiiis_files_sent_speed
,,wmiiis_uptime
wmilogicaldiskv2,,wmilogicaldiskv2_free_space_percent
,,wmilogicaldiskv2_avg_queue_length
,,wmilogicaldiskv2_disk_read_time_percent
,,wmilogicaldiskv2_disk_time_percent
,,wmilogicaldiskv2_disk_write_time_percent
,,wmilogicaldiskv2_idle_time_percent
,,wmilogicaldiskv2_avg_bytes_per_read
,,wmilogicaldiskv2_avg_bytes_per_transfer
,,wmilogicaldiskv2_avg_bytes_per_write
,,wmilogicaldiskv2_avg_read_queue
,,wmilogicaldiskv2_avg_write_queue
,,wmilogicaldiskv2_avg_read_time
,,wmilogicaldiskv2_avg_transfer_time
,,wmilogicaldiskv2_avg_write_time
,,wmilogicaldiskv2_current_queue
,,wmilogicaldiskv2_disk_transfer
,,wmilogicaldiskv2_disk_ios
,,wmilogicaldiskv2_disk_read
,,wmilogicaldiskv2_disk_read_ios
,,wmilogicaldiskv2_disk_write
,,wmilogicaldiskv2_disk_write_ios
,,wmilogicaldiskv2_split_ios
,,wmilogicaldiskv2_free_space
wmimemory,https://www.paessler.com/manuals/prtg/wmi_memory_sensor,wmimemory_available_memory
,,wmimemory_percent_available_memory
wminetwork,https://www.paessler.com/manuals/prtg/wmi_network_card_sensor,wminetwork_total_speed
,,wminetwork_packets_speed
,,wminetwork_packets_received_speed
,,wminetwork_packets_sent_speed
,,wminetwork_nonunicast_in_speed
,,wminetwork_nonunicast_out_speed
,,wminetwork_traffic_in_speed
,,wminetwork_traffic_out_speed
,,wminetwork_errors_in_speed
,,wminetwork_discards_in_speed
,,wminetwork_unicast_in_speed
,,wminetwork_unicast_out_speed
,,wminetwork_total_volumen
,,wminetwork_total_geschwindigkeit
,,wminetwork_traffic_in_volumen
,,wminetwork_traffic_in_geschwindigkeit
,,wminetwork_traffic_out_volumen
,,wminetwork_traffic_out_geschwindigkeit
,,wminetwork_packets_volumen
,,wminetwork_packets_geschwindigkeit
,,wminetwork_packets_received_volumen
,,wminetwork_packets_received_geschwindigkeit
,,wminetwork_packets_sent_volumen
,,wminetwork_packets_sent_geschwindigkeit
,,wminetwork_unicast_in_volumen
,,wminetwork_unicast_in_geschwindigkeit
,,wminetwork_unicast_out_volumen
,,wminetwork_unicast_out_geschwindigkeit
,,wminetwork_nonunicast_in_volumen
,,wminetwork_nonunicast_in_geschwindigkeit
,,wminetwork_nonunicast_out_volumen
,,wminetwork_nonunicast_out_geschwindigkeit
wmipagefile,https://www.paessler.com/manuals/prtg/wmi_pagefile_sensor,wmipagefile_total
wmiphysicaldisk,,wmiphysicaldisk_avg_disk_bytes_per_read
,,wmiphysicaldisk_avg_disk_bytes_per_write
,,wmiphysicaldisk_avg_disk_read_queue_length
,,wmiphysicaldisk_avg_disk_write_queue_length
,,wmiphysicaldisk_disk_read_bytes_per_sec
,,wmiphysicaldisk_disk_transfers_per_sec
,,wmiphysicaldisk_disk_write_bytes_per_sec
,,wmiphysicaldisk_current_disk_queue_length
,,wmiphysicaldisk_percent_disk_time
wmiphysicaldiskv2,,wmiphysicaldiskv2_avg_queue
,,wmiphysicaldiskv2_disk_read_time_percent
,,wmiphysicaldiskv2_disk_time_percent
,,wmiphysicaldiskv2_disk_write_time_percent
,,wmiphysicaldiskv2_idle_time_percent
,,wmiphysicaldiskv2_avg_bytes_per_read
,,wmiphysicaldiskv2_avg_bytes_per_transfer
,,wmiphysicaldiskv2_avg_bytes_per_write
,,wmiphysicaldiskv2_avg_read_queue
,,wmiphysicaldiskv2_avg_write_queue
,,wmiphysicaldiskv2_avg_read_time
,,wmiphysicaldiskv2_avg_transfer_time
,,wmiphysicaldiskv2_avg_write_time
,,wmiphysicaldiskv2_current_queue
,,wmiphysicaldiskv2_disk_transfer
,,wmiphysicaldiskv2_disk_ios
,,wmiphysicaldiskv2_disk_read
,,wmiphysicaldiskv2_disk_read_ios
,,wmiphysicaldiskv2_disk_write
,,wmiphysicaldiskv2_disk_write_ios
,,wmiphysicaldiskv2_split_ios
wmiprocess,https://www.paessler.com/manuals/prtg/wmi_process_sensor,wmiprocess_commit_size
,,wmiprocess_processor_time
,,wmiprocess_cpu_usage_total
,,wmiprocess_private_bytes
,,wmiprocess_handles
,,wmiprocess_threads
,,wmiprocess_working_set
wmiprocessor,https://www.paessler.com/manuals/prtg/wmi_cpu_load_sensor,wmiprocessor_processor_33
,,wmiprocessor_processor_34
,,wmiprocessor_processor_35
,,wmiprocessor_processor_36
,,wmiprocessor_processor_37
,,wmiprocessor_processor_38
,,wmiprocessor_processor_39
,,wmiprocessor_processor_40
,,wmiprocessor_processor_41
,,wmiprocessor_processor_42
,,wmiprocessor_processor_43
,,wmiprocessor_processor_44
,,wmiprocessor_processor_45
,,wmiprocessor_processor_46
,,wmiprocessor_processor_47
,,wmiprocessor_processor_48
,,wmiprocessor_total
,,wmiprocessor_processor_1
,,wmiprocessor_processor_2
,,wmiprocessor_processor_3
,,wmiprocessor_processor_4
,,wmiprocessor_processor_5
,,wmiprocessor_processor_6
,,wmiprocessor_processor_7
,,wmiprocessor_processor_8
,,wmiprocessor_processor_9
,,wmiprocessor_processor_10
,,wmiprocessor_processor_11
,,wmiprocessor_processor_12
,,wmiprocessor_processor_13
,,wmiprocessor_processor_14
,,wmiprocessor_processor_15
,,wmiprocessor_processor_16
,,wmiprocessor_processor_17
,,wmiprocessor_processor_18
,,wmiprocessor_processor_19
,,wmiprocessor_processor_20
,,wmiprocessor_processor_21
,,wmiprocessor_processor_22
,,wmiprocessor_processor_23
,,wmiprocessor_processor_24
,,wmiprocessor_processor_25
,,wmiprocessor_processor_26
,,wmiprocessor_processor_27
,,wmiprocessor_processor_28
,,wmiprocessor_processor_29
,,wmiprocessor_processor_30
,,wmiprocessor_processor_31
,,wmiprocessor_processor_32
wmiselection,,wmiselection_disk_reads_per_sec
,,wmiselection_disk_writes_per_sec
,,wmiselection_network_bytes_total_per_sec
,,wmiselection_page_writes_per_sec
,,wmiselection_network_bytes_received_per_sec
,,wmiselection_percent_privileged_time
,,wmiselection_percent_user_time
,,wmiselection_context_switches_per_sec
,,wmiselection_pages_per_sec
,,wmiselection_page_faults_per_sec
,,wmiselection_page_reads_per_sec
,,wmiselection_pool_nonpaged_bytes
,,wmiselection_network_bytes_sent_per_sec
,,wmiselection_current_disk_queue_length
,,wmiselection_percent_disk_time
wmiservice,https://www.paessler.com/manuals/prtg/wmi_service_sensor,wmiservice_sensor_execution_time
,,wmiservice_running
,,wmiservice_pagefile_usage
,,wmiservice_handles
,,wmiservice_threads
,,wmiservice_cpu_usage
,,wmiservice_working_set
wmishare,https://www.paessler.com/manuals/prtg/wmi_share_sensor,wmishare_available
wmisqlserver2014,https://www.paessler.com/manuals/prtg/wmi_microsoft_sql_server_2014_sensor,wmisqlserver2014_batch_requests_per_sec
,,wmisqlserver2014_sql_compilations_per_sec
,,wmisqlserver2014_sql_recompilations_per_sec
wmiuptime,https://www.paessler.com/manuals/prtg/wmi_uptime_sensor,wmiuptime_system_uptime
wmiutctime,https://www.paessler.com/manuals/prtg/wmi_utc_time_sensor,wmiutctime_utc_time
,,wmiutctime_difference
wmivolume,https://www.paessler.com/manuals/prtg/wmi_volume_sensor,wmivolume_free_space
